Filename,Name,Award,Photo ID,Nationality,Bio,Profile Link Type,Profile Link,Title,Caption
MAIN CATEGORIES/Intimate Landscape/4 Highly Commended-Roger Kristiansen-9781_62732_1879.jpg,Roger Kristiansen,"(' Intimate Landscape, Highly Commended',)",62732,"Skien, Norway","Captured just outside my doorstep on a foggy autumn morning in 2024, this image reflects the subtle beauty of local landscapes. It’s a reminder that inspiration often lies in the places closest to us.",Website,rogerkristiansenphotography.com,Driftwood silence – Where branches rest in fog and reflection,"Captured just outside my doorstep on a foggy autumn morning in 2024, this image reflects the subtle beauty of local landscapes. It’s a reminder that inspiration often lies in the places closest to us."
MAIN CATEGORIES/Intimate Landscape/4 Highly Commended-Roger Kristiansen-9781_62732_1879.jpg,Lukas Furlan,,58794,"Vienna, Austria","After battling stormy days in the Italian Alps, the clouds parted for a few breathtaking moments at sunset. This fiery light is what I held onto through the cold night in an unheated mountain shelter.  ",Instagram,furlanlukas,Alpine Ember,"After battling stormy days in the Italian Alps, the clouds parted for a few breathtaking moments at sunset. This fiery light is what I held onto through the cold night in an unheated mountain shelter.  "
SPECIALS/Woodland/3 Third Place-Andrea Lazzarini-0131_65250_1310.jpg,Andrew Lazzarini,"('Woodland, Third Place',)",65250,Italy,"This morning, all of nature has become a fairytale. Over everything hovers the suspended atmosphere of those frozen tears",Instagram,andrea.lazzarini.photography,Frozen Tears,"This morning, all of nature has become a fairytale. Over everything hovers the suspended atmosphere of those frozen tears"
SPECIALS/Woodland/3 Third Place-Andrea Lazzarini-0131_65250_1310.jpg,Matt Jackisch,,58570,"Vancouver, Canada","When I reached the top of the mountain, I looked down and could see it's shadow cast onto the clouds below me. At the top of the shadow was my tiny projection, surrounded by a ring of light known as a 'glory halo'. I knew this was an incredibly rare optical phenomena and tried to incorporate the larger scene into my camera to convey the magic of what I witnessed. ",Website,mattjackischphotography.com/,Apex Experience ,"When I reached the top of the mountain, I looked down and could see it's shadow cast onto the clouds below me. At the top of the shadow was my tiny projection, surrounded by a ring of light known as a 'glory halo'. I knew this was an incredibly rare optical phenomena and tried to incorporate the larger scene into my camera to convey the magic of what I witnessed. "
SPECIALS/Woodland/3 Third Place-Andrea Lazzarini-0131_65250_1310.jpg,Ian Callaghan,,63886,Melbourne Australia,"Ancient tree ferns stand tall while light and fog intertwine, casting a dramatic winter glow across this Black Spur gully in the Yarra Ranges, on Wurundjeri Country. The scene is a glimpse back through time, into a living landscape that has endured, unchanged in its essence, for millions of years.",Instagram,instagram.com/iancallaghan_bnw,Gondwana,"Ancient tree ferns stand tall while light and fog intertwine, casting a dramatic winter glow across this Black Spur gully in the Yarra Ranges, on Wurundjeri Country. The scene is a glimpse back through time, into a living landscape that has endured, unchanged in its essence, for millions of years."
SPECIALS/Woodland/3 Third Place-Andrea Lazzarini-0131_65250_1310.jpg,Tomasz Niedźwiedź,,56232,"Poznań, Poland","Traveling through a forest by train has something special about it. The landscape zooms past the window too fast for the eye to capture intricate detail. Instead, our brains register afterimages, momentary, sharp glimpses of one tree or another, depending on where we happen to subconsciously focus our sight. The rest is pure motion. Trying to capture this feeling in a photograph is a great way to kill time during a long journey. Shot in monochrome, to prevent colours from becoming a distraction, which gave the whole scene the feel of a rough sketch made with charcoal.",Instagram,niedzwiedz.photo,Charcoal,"Traveling through a forest by train has something special about it. The landscape zooms past the window too fast for the eye to capture intricate detail. Instead, our brains register afterimages, momentary, sharp glimpses of one tree or another, depending on where we happen to subconsciously focus our sight. The rest is pure motion. Trying to capture this feeling in a photograph is a great way to kill time during a long journey. Shot in monochrome, to prevent colours from becoming a distraction, which gave the whole scene the feel of a rough sketch made with charcoal."
SPECIALS/Woodland/3 Third Place-Andrea Lazzarini-0131_65250_1310.jpg,Chris Bryant,,57232,"Chepstow, Wales.","On a hike over Sugar Loaf (Mynydd Pen-y-fâl), Wales, in poor conditions with persistent rain and mist. Lower on the hill I took a shortcut through this old twisted wood, as It was so miserable I kept my camera in my backpack and used my iPhone.",Website,themountainphotographer.co.uk,"Dank Wood, Sugar Loaf, Wales.","On a hike over Sugar Loaf (Mynydd Pen-y-fâl), Wales, in poor conditions with persistent rain and mist. Lower on the hill I took a shortcut through this old twisted wood, as It was so miserable I kept my camera in my backpack and used my iPhone."
MAIN CATEGORIES/Intimate Landscape/4 Highly Commended-Roger Kristiansen-9781_62732_1879.jpg,Roger Kristiansen,"(' Intimate Landscape, Highly Commended',)",62732,"Skien, Norway",This photograph was taken near my home on a misty autumn morning in 2024. The still water and drifting branches capture the quiet poetry of nature close to everyday life.,Website,rogerkristiansenphotography.com,Driftwood silence – Where branches rest in fog and reflection,This photograph was taken near my home on a misty autumn morning in 2024. The still water and drifting branches capture the quiet poetry of nature close to everyday life.
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,John Meragias,"('Desert Landscapes, Runner Up',)",55715,"Montreal, Canada","Taken from an open door helicopter, this photo shows two trees alone in a dry and desolate landscape. These trees have actually been dead for hundreds of years and have been permanently frozen in time together. ",Website,jmeragiasphoto.com,Alone Together,"Taken from an open door helicopter, this photo shows two trees alone in a dry and desolate landscape. These trees have actually been dead for hundreds of years and have been permanently frozen in time together. "
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,Jason Pettit,,56093,"Ontario, Canada","
The winter holds an opportunity that other seasons do not. In the frozen landscape, otherwise inaccessible locations become available for exploration when the open water and marshes freeze over. New vantage points give familiar locations a whole new creative dimension to play with when you step out onto the solid waters.",Website,jasonpettit.ca,Small World,"
The winter holds an opportunity that other seasons do not. In the frozen landscape, otherwise inaccessible locations become available for exploration when the open water and marshes freeze over. New vantage points give familiar locations a whole new creative dimension to play with when you step out onto the solid waters."
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,Marlin Mills,,65640,"Arizona, USA","In 2020, the Bush Wildfire destroyed 193,455 acres (78,288 ha) of the Tonto National Forest, in the Sonora Desert northeast of Phoenix. Hundreds of people drive through this region, daily, witnessing a landscape marred by burn scars from that wildfire. This image of a burned, decades old, saguaro cactus, a cactus only found in the Sonora Desert, highlights the destruction that occurred in this region.",Website,marlinmillsphoto.com,The Standing Dead,"In 2020, the Bush Wildfire destroyed 193,455 acres (78,288 ha) of the Tonto National Forest, in the Sonora Desert northeast of Phoenix. Hundreds of people drive through this region, daily, witnessing a landscape marred by burn scars from that wildfire. This image of a burned, decades old, saguaro cactus, a cactus only found in the Sonora Desert, highlights the destruction that occurred in this region."
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,Dylan Nardini ,,65568,"South Lanarkshire, Scotland.","A large bogey expanse, peppered with wild cotton grass, creates an open air stage for this band of Caledonian Pines, that stand majestically and with attitude in the early morning mist. Found in a quiet patch of South Lanarkshire, Scotland. ",Website,dylannardini.co.uk,"The Frontman - South Lanarkshire, Scotland.","A large bogey expanse, peppered with wild cotton grass, creates an open air stage for this band of Caledonian Pines, that stand majestically and with attitude in the early morning mist. Found in a quiet patch of South Lanarkshire, Scotland. "
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,Rick Bowden,,58183,"Norwich, Norfolk, UK","This image was taken near Bintree Mill in the Wensum Valley, Norfolk, on a clod and foggy January morning. The area is often frequented by photographers who mainly come to shoot the water mill itself, but on this occasion I decided to concentrate on this little scene by the river. The fog was giving just enough separation between the trees and the water was still enough to give the perfect reflection. I've been back to this spot many times since but I never had conditions as amazing as these.",Website,rickbowden.co.uk,Timeless. A foggy morning in the serenity of the Wensum Valley.,"This image was taken near Bintree Mill in the Wensum Valley, Norfolk, on a clod and foggy January morning. The area is often frequented by photographers who mainly come to shoot the water mill itself, but on this occasion I decided to concentrate on this little scene by the river. The fog was giving just enough separation between the trees and the water was still enough to give the perfect reflection. I've been back to this spot many times since but I never had conditions as amazing as these."
SPECIALS/Desert Landscapes/2 Runner Up-John Meragias-2263_55715_3622.jpg,Paul Hoelen,,64753,"Hobart, Tasmania, Australia","Ancient ice, broken free from its glacier, drifts quietly across Jökulsárlón Lagoon, its layered curves revealed in a moment of stillness before continuing its journey to the sea. The photograph offers a meditation on impermanence—a passage from mountain source to ocean, a fleeting pause before dissolving into saltwater, under the transient dance of seabirds wheeling overhead.",Instagram,https://www.instagram.com/paulhoelen/,"Glacial Curves. Jökulsárlón Lagoon, Iceland.","Ancient ice, broken free from its glacier, drifts quietly across Jökulsárlón Lagoon, its layered curves revealed in a moment of stillness before continuing its journey to the sea. The photograph offers a meditation on impermanence—a passage from mountain source to ocean, a fleeting pause before dissolving into saltwater, under the transient dance of seabirds wheeling overhead."
